name,artists,id
Hailie's Song,['Eminem'],6Db8IlZ7YY1pfIjJllejyH
When The Music Stops,"['Eminem', 'D12']",73qINA7ccO03wxD8nsJalr
Square Dance,['Eminem'],27mgDrExPa3obPAYXd3yQg
Ride It,['Krosfyah (feat. Edwin Yearwood)'],1MOAOueyuQFsnLSU7dHvwG
Hustlin',['Rick Ross'],3hQCHzkE5oSA3F1xM8bpcM
Real Muthaphuckkin' G's,['Eazy-E'],53BZ6XygAoubR5DU5w38Vq
Missed Calls,['Mac Miller'],6ET22Ri3FYXi5C8BBqHWcO
9,"['WILLOW', 'SZA']",3e90JC8EKLsSDUHmPpxkfp
January 28th,['J. Cole'],6NyhBA9M6KK0fuVsojxL00
My Flaws Burn Through My Skin Like Demonic Flames from Hell,['$uicideboy$'],6QFQqqYye5lAcnhCALvxKJ
Professional Rapper (feat. Snoop Dogg),"['Lil Dicky', 'Snoop Dogg']",5TlAXiBCBwiQnIZUAA4Jkg
Know,"['DJ Many', 'Donny Osmond']",0X8oueifkU63CazZUZ1qSA
Lost In The Moment,"['NF', 'Andreas Moss']",3qEg6xYffvuvwpq4U6FRrK
What They Want,['Russ'],3pndPhlQWjuSoXhcIIdBjv
Love Scars,['Trippie Redd'],0AICBlLzFCTpUqmAbtzB2z
Depression & Obsession,['XXXTENTACION'],2H3wWrnO758y0fPH7Ilerg
Fine China,"['Future', 'Juice WRLD']",5274I4mUMnYczyeXkGDWZN
Go To Sleep,"['Eminem', 'DMX', 'Obie Trice']",66ezChUOWvgzRQAi3Ay1wt
Steady Mobbin,"['Young Money', 'Gucci Mane']",3cSuhzV7wKX5diQ8hos78P
The Need to Know (feat. SZA),"['Wale', 'SZA']",6KacmqPPQ3LNoiGFuqGChs
False Prophets,['J. Cole'],0eneujAc4PxkdjP25Gsue1
i think you're really cool,['guardin'],78cIbVjU1xn7mbQ9i35avl
"The Gangsta, The Killa And The Dope Dealer",['Westside Connection'],6MbxtmdQYE6eljl9sntLZt
2019,['ghostkiller'],6WaCKO2Gdu6M5d03mseEmE
Mask Off - Marshmello Remix,"['Future', 'Marshmello']",5rK0pyEObO4DBFLy682QvR
All The Way Up,"['Fat Joe', 'Remy Ma', 'French Montana', 'InfaRed']",7Ezwtgfw7khBrpvaNPtMoT
Caribou Lou,['Tech N9ne'],0I0wn4G67txQwENcmRH3d6
I'll Still Kill,"['50 Cent', 'Akon']",0XV3lm3ZxKUr6FiWVdJuyk
Wrong,['Opech'],1mVuvHjmmo7wBuHq3qkHTO
Send It Up,['Kanye West'],3RKblQNJs8HPvWBgXmq6nn
the remedy for a broken heart (why am I so in love),['XXXTENTACION'],4sGCKqImMuIFH9XdMfAtpt
Psychosocial,['Slipknot'],4nM7EwYTLp9cCR8LDIFiO3
Fell In Luv (feat. Bryson Tiller),"['Playboi Carti', 'Bryson Tiller']",1s9DTymg5UQrdorZf43JQm
Sexy Lady,['Jessie J'],60YqDe8UqfRaSFZ6TvPI9u
Superman Is Dead,['Superman Is Dead'],6q6JuumxvaB8fRudbgnRbB
Ride It,['Maan'],7xdiXcJgNfDsergXOa3gTH
Thug,['Slim Thug'],63aEJ4wsr95XjkvIydKOZG
You're a Jerk,['New Boyz'],30QbrkRLEimw7HWXb7ntrU
Neon Guts (feat. Pharrell Williams),"['Lil Uzi Vert', 'Pharrell Williams']",1MJErNPIQUoEMu4YUUmecm
Paramedic!,['SOB X RBE'],2tPcTFiQF9MbVUyjZ3zDhA
I Love College,['Asher Roth'],6PXQNYLW3Y9HpTOYEt7sr7
Paperbond,['Wiz Khalifa'],7w19FeOKgzXQlTGIERRgg2
DUCKWORTH.,['Kendrick Lamar'],0y9uTzK9cNKSAEHnpeRG8C
