name,artists,id
SumÃ©rgeme,['JesÃºs AdriÃ¡n Romero'],6Z31l856yEwyJqSBe3qLZ4
Lost In Hollywood,['System Of A Down'],0GrHWVTDsaWcD4nrCGr7VE
Someone Great,['LCD Soundsystem'],2VGDntFPvgvqSiUf9ITEfW
Resistance,['Muse'],1C2QJNTmsTxCDBuIgai8QV
Empire Ants (feat. Little Dragon),"['Gorillaz', 'Little Dragon']",3a6PN6BRB8PP3ms48s7kU1
Not Over You,['Gavin DeGraw'],6j7hih15xG2cdYwIJnQXsq
Paint Me a Birmingham,['Tracy Lawrence'],2kZZq09uK0oR9wwYJvgacb
"When Can I See You Again? - From ""Wreck-It Ralph""/Soundtrack Version",['Owl City'],5ZkAx8zjLiSs1nMmBwJoZS
She,['Elvis Costello'],31Tp5iKrVUayn65qhg06nE
Letâs Go,['Stuck in the Sound'],1XsN9Flu0VvZpXmrkBtZGt
Aw Naw,['Chris Young'],53Dj5PCDhb22qWqmre3YQs
Rise,['Skillet'],1W0YS64vF9qgMVLuN76aqg
Monsters,['Katie Sky'],05Kms0excTlHRel656GZ3U
Avalanche,['Bring Me The Horizon'],4EyPadLFhtWojU7mkT5hqT
Heathens,['Twenty One Pilots'],6i0V12jOa3mr6uu4WYhUBr
Delicate,['Taylor Swift'],6NFyWDv5CjfwuzoCkw47Xf
The Weekend,['SZA'],6gU9OKjOE7ghfEd55oRO57
Fake Love,['Drake'],343YBumqHu19cGoGARUTsd
Cry Baby,"['Megan Thee Stallion', 'DaBaby']",4uCFW5cq0y8h6XwwwS8tLS
Hello,['J. Cole'],30Chv2SmIry70YwtmtaKnj
Encore,['KÃ´ba Building'],12jNKAEJsfaEW1Twyka4W0
It's Not Living (If It's Not With You),['The 1975'],3TgMcrV32NUKjEG2ujn9eh
I Wish I Was the Moon,['Neko Case'],4PxzGOH79jcmmldKgoI9sB
My Way,['Jay-Jay Johanson'],6yTIxRcoMJd3Ou9dojqwVL
ãªããã®ã­ã ã,['KANA-BOON'],1dsh4buvcBs2u7YtHy29c7
Si No Te Hubieras Ido,"['David Bisbal', 'Juan Luis Guerra 4.40']",7a6jhFmRoDqxyareqvos6P
Butterfly,['Rajaton'],1k3IayNqAWvZd02TN4GhYx
Relax,['Drax Project'],1coOUozZEQJQ5ITb09mOYb
Over It,['Drax Project'],6xTSyXSM4bl0k3YdTOtsg6
Ni TÃº Ni Nadie,['Daniela'],3MJwOfyRiJBic9z2YHxJRQ
"A Car, A Torch, A Death",['Twenty One Pilots'],5zTX7MeCrTX5ZBFSqJS7XZ
Voodoo,"['Light', 'Hawk']",6tGl1mj5CyoB1hUtOKyhkQ
With Arms Wide Open,['Creed'],4bjPCvSbkeAGPTv474BvL9
Always Alright,['Alabama Shakes'],6ckUX8cgcqjoNGTd2A2Pvd
Kansas City,['The New Basement Tapes'],2JTBNz8VZx7i38pcPROWuz
Outcast,['FOOL'],6jnDfM8vtRWgN7R4XSQpWJ
Smooth Criminal,"['Branco', 'Sivas']",3Q9TazJ9adOJGlyH9bPUZk
Stacy's Mom,['Fountains Of Wayne'],6Vt7c0SFdABHEish6QqDci
A Thousand Miles,['Vanessa Carlton'],3j03kSTwHPpbLDkp1Ayzxp
Titanium,"['HalldÃ³r Gunnar', 'Sverrir Bergmann']",7dpNv1EcetEjnD1bo3Rm8d
Careless,['Matt Fax'],1kYPLu3VGG6Z20TjlTiUxz
Halo,['Marcus Santoro'],76Lt72PmWGoMcg9iCFFBhK
Dance All Night,['Liv Marit Wedvik'],0HjN3a0dnXHzbjUecGbnse
Soy Yo,['Marta SÃ¡nchez'],4v6yUkJSlED5Ollt6tFiQG
Take on Me,['a-ha'],7e7b82zqTMJievX0DegFkK
Sophomore Slump Or Comeback Of The Year,['Fall Out Boy'],1iir1dMidSGRzbPMCCEtfX
Best Day Of My Life,['American Authors'],0Dho96aJIZ5LJZXyPllbWA
Encore,['GOT7'],2mf9FitEJnH6mcUU6y0Hkw
Smooth Criminal,['Alien Ant Farm'],6RF2pjhe1jf67HnvNZhyOb
Hey There Delilah,['Stereo Avenue'],1w2NpaYhGhwR9YWPVe03TG
The Promise,['Girls Aloud'],3wyMwEpzoIWBGqEkHeEvi6
Radioactive,"['Imagine Dragons', 'Kendrick Lamar']",6nDAs3PRe37fgqLfx51lBB
I Could Kick Your Ass,['Justin Moore'],6APx8Wqrsplu8sThFqutwn
She,"['Tyler, The Creator', 'Frank Ocean']",0SA0mMXWh23raZ6xzOCU2V
That Don't Sound Like You,['Lee Brice'],2l1fWY1albInvAG9t8WP2p
What Went Down,['Foals'],78tgXRq9Q6tPNP9hKCpgwB
Wonderwall,['Lucky Luke'],3xJEu7OdZcjeX8iX3pvODL
Beelzeboss (The Final Showdown),['Tenacious D'],1TuziaxSb0lXkmwNxQa51Q
When I Was a Boy,['City Blues Connection'],280jfwg3Ig2oN9HLVLUEdY
Sorry,['Purebeat'],2Rap4QhMwSmWnYPBSLuJCx
Ooh La La,"['Bappi Lahiri', 'Shreya Ghoshal']",77QLO6fafn5BGev2ADuFKz
Take on the World,['You Me At Six'],3eHYnUFpEZjnTQag1EVxHC
Valerie,['ATMO Music'],0isp8Vm8hFzEV7NQnG0YtJ
Sliver,['Nirvana'],6vA9MwQSTgsGw2aaiVQdq2
Crazy for You,['Michael Cruz'],1PbkA6dI1waIHnlplkXiig
Even If,['Sam Concepcion'],7LRXtA0WOU2fOGlNCZ9ger
Bullet,['Infinite Mass'],2E6W2xMHWCF9ZMNKLalsCf
Spaceman,['Hardwell'],1Ca2ELRlvACAeI7xz9c9jR
